title,author,isbn,publicationYear
1984,George Orwell,9780451524935,1949
To Kill a Mockingbird,Harper Lee,9780060935467,1960
Pride and Prejudice,Jane Austen,9780141199078,1813
The Great Gatsby,F. Scott Fitzgerald,9780743273565,1925
Moby Dick,Herman Melville,9780142437179,1851
Crime and Punishment,Fyodor Dostoevsky,9780679734505,1866
The Catcher in the Rye,J.D. Salinger,9780316769488,1951
The Hobbit,J.R.R. Tolkien,9780547928227,1937
Brave New World,Aldous Huxley,9780060850524,1932
The Odyssey,Homer,9780140268867,800
Catch-22,Joseph Heller,9780684833392,1961
Lord of the Flies,William Golding,9780140283334,1954
The Grapes of Wrath,John Steinbeck,9780143039433,1939
Slaughterhouse-Five,Kurt Vonnegut,9780385333849,1969
Animal Farm,George Orwell,9780451526342,1945
Jane Eyre,Charlotte Bronte,9780141441146,1847
Wuthering Heights,Emily Bronte,9780143105435,1847
Great Expectations,Charles Dickens,9780141439563,1861
Frankenstein,Mary Shelley,9780141439471,1818
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780060883287,1967
